cat_middle,cat_3,code_icd10_p,code_icd10,codename_high,codename,code_icd9
A00－A09,A08,A08.5a,A085a,NA,その他の明示された腸管感染症；伝染性下痢症,
A00－A09,A08,A08.5b,A085b,NA,その他の明示された腸管感染症；その他,
A00－A09,A09,A09,A09,NA,その他の胃腸炎及び大腸炎，感染症及び詳細不明の原因によるもの,0090
A00－A09,A09,A09.0,A090,NA,感染症が原因のその他及び詳細不明の胃腸炎及び大腸炎,
A00－A09,A09,A09.9,A099,NA,詳細不明の原因による胃腸炎及び大腸炎,
A15－A19,A15,A15,A15,NA,呼吸器結核，細菌学的又は組織学的に確認されたもの,
A15－A19,A15,A15.0,A150,NA,肺結核，培養の有無にかかわらず喀痰鏡検により確認されたもの,01190
A15－A19,A15,A15.1,A151,NA,肺結核，培養のみにより確認されたもの,
A15－A19,A15,A15.2,A152,NA,肺結核，組織学的に確認されたもの,
A15－A19,A15,A15.3,A153,NA,肺結核，確認されてはいるが，その方法については詳細不明のもの,
A15－A19,A15,A15.4,A154,NA,胸腔内リンパ節結核，細菌学的又は組織学的に確認されたもの,01210
A15－A19,A15,A15.5,A155,NA,喉頭，気管及び気管支の結核，細菌学的又は組織学的に確認されたもの,"01130,01220,01230"
A15－A19,A15,A15.6,A156,NA,結核性胸膜炎，細菌学的又は組織学的に確認されたもの,01200
A15－A19,A15,A15.7,A157,NA,初感染呼吸器結核，細菌学的又は組織学的に確認されたもの,01090
A15－A19,A15,A15.8,A158,NA,その他の呼吸器結核，細菌学的又は組織学的に確認されたもの,01280
A15－A19,A15,A15.9,A159,NA,詳細不明の呼吸器結核，細菌学的又は組織学的に確認されたもの,01280
A15－A19,A16,A16,A16,NA,呼吸器結核，細菌学的又は組織学的に確認されていないもの,
A15－A19,A16,A16.0,A160,NA,肺結核，細菌学的及び組織学的検査陰性のもの,
A15－A19,A16,A16.1,A161,NA,肺結核，細菌学的及び組織学的検査が実施されていないもの,
A15－A19,A16,A16.2,A162,NA,肺結核，細菌学的又は組織学的確認の記載がないもの,
A15－A19,A16,A16.3,A163,NA,胸腔内リンパ節結核，細菌学的又は組織学的確認の記載がないもの,
A15－A19,A16,A16.4,A164,NA,喉頭，気管及び気管支の結核，細菌学的又は組織学的確認の記載がないもの,
A15－A19,A16,A16.5,A165,NA,結核性胸膜炎，細菌学的又は組織学的確認の記載がないもの,
A15－A19,A16,A16.7,A167,NA,初感染呼吸器結核，細菌学的又は組織学的確認の記載がないもの,
A15－A19,A16,A16.8,A168,NA,その他の呼吸器結核，細菌学的又は組織学的確認の記載がないもの,
A15－A19,A16,A16.9,A169,NA,詳細不明の呼吸器結核，細菌学的又は組織学的確認の記載がないもの,
A15－A19,A17†,A17,A17,NA,神経系結核,
A15－A19,A17†,A17.0,A170,NA,結核性髄膜炎（G01*）,01300
A15－A19,A17†,A17.1,A171,NA,髄膜（性）結核腫（G07*）,01310
A15－A19,A17†,A17.8,A178,NA,その他の神経系結核,
A15－A19,A17†,A17.9,A179,NA,神経系結核，詳細不明（G99.8*）,01790
A15－A19,A18,A18,A18,NA,その他の臓器の結核,
A15－A19,A18,A18.0,A180,NA,骨及び関節の結核,
A15－A19,A18,A18.1,A181,NA,腎尿路生殖器系の結核,
A15－A19,A18,A18.2,A182,NA,結核性末梢（性）リンパ節症,01720
A15－A19,A18,A18.3,A183,NA,腸，腹膜及び腸間膜リンパ節の結核,
A15－A19,A18,A18.4,A184,NA,皮膚及び皮下組織の結核,"01700,01710"
A15－A19,A18,A18.5,A185,NA,眼の結核,
A15－A19,A18,A18.6,A186,NA,耳の結核,01740
A15－A19,A18,A18.7,A187,NA,副腎の結核（E35.1*）,01760
A15－A19,A18,A18.8,A188,NA,その他の明示された臓器の結核,
A15－A19,A19,A19,A19,NA,粟粒結核,
A15－A19,A19,A19.0,A190,NA,急性粟粒結核，単一の明示された部位,01800
A15－A19,A19,A19.1,A191,NA,急性粟粒結核，多部位,01800
A15－A19,A19,A19.2,A192,NA,急性粟粒結核，詳細不明,01800
A15－A19,A19,A19.8,A198,NA,その他の粟粒結核,01880
A15－A19,A19,A19.9,A199,NA,粟粒結核，詳細不明,01890
A20－A28,A20,A20,A20,NA,ペスト,
A20－A28,A20,A20.0,A200,NA,腺ペスト,0200
A20－A28,A20,A20.1,A201,NA,皮膚結合織ペスト,0201
A20－A28,A20,A20.2,A202,NA,肺ペスト,"0203,0204,0205"
A20－A28,A20,A20.3,A203,NA,ペスト髄膜炎,0208
A20－A28,A20,A20.7,A207,NA,ペスト敗血症,0202
A20－A28,A20,A20.8,A208,NA,その他の型のペスト,0208
A20－A28,A20,A20.9,A209,NA,ペスト，詳細不明,0209
A20－A28,A21,A21,A21,NA,野兎病＜ツラレミア＞,
A20－A28,A21,A21.0,A210,NA,潰瘍リンパ節型野兎病＜ツラレミア＞,0210
A20－A28,A21,A21.1,A211,NA,眼リンパ節型野兎病＜ツラレミア＞,0213
A20－A28,A21,A21.2,A212,NA,肺野兎病＜ツラレミア＞,0212
A20－A28,A21,A21.3,A213,NA,胃腸野兎病＜ツラレミア＞,0211
A20－A28,A21,A21.7,A217,NA,全身性野兎病＜ツラレミア＞,0218
A20－A28,A21,A21.8,A218,NA,その他の型の野兎病＜ツラレミア＞,0218
A20－A28,A21,A21.9,A219,NA,野兎病＜ツラレミア＞，詳細不明,0219
A20－A28,A22,A22,A22,NA,炭疽,
A20－A28,A22,A22.0,A220,NA,皮膚炭疽,0220
A20－A28,A22,A22.1,A221,NA,肺炭疽,"0221,0221+4845"
A20－A28,A22,A22.2,A222,NA,胃腸炭疽,0222
A20－A28,A22,A22.7,A227,NA,炭疽敗血症,0223+99591
A20－A28,A22,A22.8,A228,NA,その他の型の炭疽,0228
A20－A28,A22,A22.9,A229,NA,炭疽，詳細不明,0229
A20－A28,A23,A23,A23,NA,ブルセラ症,
A20－A28,A23,A23.0,A230,NA,メリテンジス菌によるブルセラ症,0230
A20－A28,A23,A23.1,A231,NA,ウシ流産菌によるブルセラ症,0231
A20－A28,A23,A23.2,A232,NA,ブタ流産菌によるブルセラ症,0232
A20－A28,A23,A23.3,A233,NA,イヌ流産菌によるブルセラ症,0233
A20－A28,A23,A23.8,A238,NA,その他のブルセラ症,0238
A20－A28,A23,A23.9,A239,NA,ブルセラ症，詳細不明,0239
A20－A28,A24,A24,A24,NA,鼻疽及び類鼻疽,
A20－A28,A24,A24.0,A240,NA,鼻疽,024
A20－A28,A24,A24.1,A241,NA,急性及び劇症類鼻疽,025
A20－A28,A24,A24.2,A242,NA,亜急性及び慢性類鼻疽,025
A20－A28,A24,A24.3,A243,NA,その他の類鼻疽,025
A20－A28,A24,A24.4,A244,NA,類鼻疽，詳細不明,
A20－A28,A25,A25,A25,NA,鼠咬症,
A20－A28,A25,A25.0,A250,NA,鼠咬症スピリルム症＜ラセン菌症＞,0260
A20－A28,A25,A25.1,A251,NA,モニリフォルム連鎖桿菌症,0261
A20－A28,A25,A25.9,A259,NA,鼠咬症，詳細不明,0269
A20－A28,A26,A26,A26,NA,類丹毒,
A20－A28,A26,A26.0,A260,NA,皮膚類丹毒,0271
A20－A28,A26,A26.7,A267,NA,類丹毒性敗血症,0271+99591
A20－A28,A26,A26.8,A268,NA,その他の型の類丹毒,0271
A20－A28,A26,A26.9,A269,NA,類丹毒，詳細不明,0271
A20－A28,A27,A27,A27,NA,レプトスピラ症,
A20－A28,A27,A27.0,A270,NA,黄疸出血性レプトスピラ症＜ワイル病＞,1000
A20－A28,A27,A27.8,A278,NA,その他の型のレプトスピラ症,
A20－A28,A27,A27.9,A279,NA,レプトスピラ症，詳細不明,1009
A20－A28,A28,A28,A28,NA,その他の人畜共通細菌性疾患，他に分類されないもの,
A20－A28,A28,A28.0,A280,NA,パスツレラ症,0272
A20－A28,A28,A28.1,A281,NA,ネコひっかき＜猫掻＞病,0783
A20－A28,A28,A28.2,A282,NA,腸管外エルシニア症,0278
A20－A28,A28,A28.8,A288,NA,その他の明示された人畜共通細菌性疾患，他に分類されないもの,0278
A20－A28,A28,A28.9,A289,NA,人畜共通細菌性疾患，詳細不明,0279
A30－A49,A30,A30,A30,NA,ハンセン＜Hansen＞病,
A30－A49,A30,A30.0,A300,NA,ハンセン＜Hansen＞病I群,0302
A30－A49,A30,A30.1,A301,NA,ハンセン＜Hansen＞病TT型,0301
A30－A49,A30,A30.2,A302,NA,ハンセン＜Hansen＞病BT型,0303
A30－A49,A30,A30.3,A303,NA,ハンセン＜Hansen＞病BB型,0303
A30－A49,A30,A30.4,A304,NA,ハンセン＜Hansen＞病BL型,0303
A30－A49,A30,A30.5,A305,NA,ハンセン＜Hansen＞病LL型,0300
A30－A49,A30,A30.8,A308,NA,その他の型のハンセン＜Hansen＞病,0308
A30－A49,A30,A30.9,A309,NA,ハンセン＜Hansen＞病，詳細不明,0309
A30－A49,A31,A31,A31,NA,その他の非結核性抗酸菌による感染症,
A30－A49,A31,A31.0,A310,NA,肺非結核性抗酸菌感染症,0310
A30－A49,A31,A31.1,A311,NA,皮膚非結核性抗酸菌感染症,0311
A30－A49,A31,A31.8,A318,NA,その他の非結核性抗酸菌感染症,0318
A30－A49,A31,A31.9,A319,NA,非結核性抗酸菌感染症，詳細不明,0319
A30－A49,A32,A32,A32,NA,リステリア症,
A30－A49,A32,A32.0,A320,NA,皮膚リステリア症,0270
A30－A49,A32,A32.1,A321,NA,リステリア性髄膜炎及び髄膜脳炎,
A30－A49,A32,A32.7,A327,NA,リステリア性敗血症,0270+99591
A30－A49,A32,A32.8,A328,NA,その他の型のリステリア症,
A30－A49,A32,A32.9,A329,NA,リステリア症，詳細不明,0270
A30－A49,A33,A33,A33,NA,新生児破傷風,7713
A30－A49,A34,A34,A34,NA,産科破傷風,6390
A30－A49,A35,A35,A35,NA,その他の破傷風,037
A30－A49,A36,A36,A36,NA,ジフテリア,
A30－A49,A36,A36.0,A360,NA,咽頭ジフテリア,0320
A30－A49,A36,A36.1,A361,NA,鼻咽頭ジフテリア,0321
A30－A49,A36,A36.2,A362,NA,喉頭ジフテリア,0323
A30－A49,A36,A36.3,A363,NA,皮膚ジフテリア,03285
A30－A49,A36,A36.8,A368,NA,その他のジフテリア,
A30－A49,A36,A36.9,A369,NA,ジフテリア，詳細不明,0329
A30－A49,A37,A37,A37,NA,百日咳,
A30－A49,A37,A37.0,A370,NA,百日咳菌による百日咳,
A30－A49,A37,A37.1,A371,NA,パラ百日咳菌による百日咳,
A30－A49,A37,A37.8,A378,NA,その他のボルデテラ属菌種による百日咳,
A30－A49,A37,A37.9,A379,NA,百日咳，詳細不明,
A30－A49,A38,A38,A38,NA,猩紅熱,
A30－A49,A39,A39,A39,NA,髄膜炎菌感染症,
A30－A49,A39,A39.0,A390,NA,髄膜炎菌性髄膜炎（G01*）,0360
A30－A49,A39,A39.1,A391,NA,ウォーターハウス・フリーデリクセン＜Waterhouse-Friderichsen＞症候群（E35.1*）,0363
A30－A49,A39,A39.2,A392,NA,急性髄膜炎菌菌血症,0362
A30－A49,A39,A39.3,A393,NA,慢性髄膜炎菌菌血症,0362
A30－A49,A39,A39.4,A394,NA,髄膜炎菌菌血症，詳細不明,0362
A30－A49,A39,A39.5,A395,NA,髄膜炎菌性心疾患,
A30－A49,A39,A39.8,A398,NA,その他の髄膜炎菌感染症,
A30－A49,A39,A39.9,A399,NA,髄膜炎菌感染症，詳細不明,0369
A30－A49,A40,A40,A40,NA,連鎖球菌性敗血症,
A30－A49,A40,A40.0,A400,NA,A群連鎖球菌による敗血症,0380+99591
A30－A49,A40,A40.1,A401,NA,B群連鎖球菌による敗血症,0380+99591
A30－A49,A40,A40.2,A402,NA,D群連鎖球菌による敗血症,
A30－A49,A40,A40.3,A403,NA,肺炎連鎖球菌による敗血症,"0380+99591,0382+99591"
A30－A49,A40,A40.8,A408,NA,その他の連鎖球菌性敗血症,0380+99591
A30－A49,A40,A40.9,A409,NA,連鎖球菌性敗血症，詳細不明,0380+99591
A30－A49,A41,A41,A41,NA,その他の敗血症,
A30－A49,A41,A41.0,A410,NA,黄色ブドウ球菌による敗血症,
A30－A49,A41,A41.1,A411,NA,その他の明示されたブドウ球菌による敗血症,03819+99591
A30－A49,A41,A41.2,A412,NA,詳細不明のブドウ球菌による敗血症,03810+99591
A30－A49,A41,A41.3,A413,NA,インフルエンザ菌による敗血症,03841+99591
A30－A49,A41,A41.4,A414,NA,嫌気性菌による敗血症,0383+99591
A30－A49,A41,A41.5,A415,NA,その他のグラム陰性菌による敗血症,
A30－A49,A41,A41.8,A418,NA,その他の明示された敗血症,
A30－A49,A41,A41.9,A419,NA,敗血症，詳細不明,0389+99591
A30－A49,A42,A42,A42,NA,放線菌症＜アクチノミセス症＞,
A30－A49,A42,A42.0,A420,NA,肺放線菌症＜アクチノミセス症＞,0391
A30－A49,A42,A42.1,A421,NA,腹部放線菌症＜アクチノミセス症＞,0392
A30－A49,A42,A42.2,A422,NA,頚部顔面放線菌症＜アクチノミセス症＞,0393
A30－A49,A42,A42.7,A427,NA,放線菌症＜アクチノミセス症＞性敗血症,0388+99591
A30－A49,A42,A42.8,A428,NA,その他の型の放線菌症＜アクチノミセス症＞,
A30－A49,A42,A42.9,A429,NA,放線菌症＜アクチノミセス症＞，詳細不明,0399
A30－A49,A43,A43,A43,NA,ノカルジア症,
A30－A49,A43,A43.0,A430,NA,肺ノカルジア症,0391
A30－A49,A43,A43.1,A431,NA,皮膚ノカルジア症,0390
A30－A49,A43,A43.8,A438,NA,その他の型のノカルジア症,0398
A30－A49,A43,A43.9,A439,NA,ノカルジア症，詳細不明,0399
A30－A49,A44,A44,A44,NA,バルトネラ症,
A30－A49,A44,A44.0,A440,NA,全身性バルトネラ症,0880
A30－A49,A44,A44.1,A441,NA,皮膚及び皮膚粘膜バルトネラ症,0880
A30－A49,A44,A44.8,A448,NA,その他の型のバルトネラ症,0880
A30－A49,A44,A44.9,A449,NA,バルトネラ症，詳細不明,0880
A30－A49,A46,A46,A46,NA,丹毒,035
A30－A49,A48,A48,A48,NA,その他の細菌性疾患，他に分類されないもの,
A30－A49,A48,A48.0,A480,NA,ガスえ＜壊＞疽,0400
A30－A49,A48,A48.1,A481,NA,レジオネラ症＜在郷軍人病＞,48284
A30－A49,A48,A48.2,A482,NA,非肺炎性レジオネラ症［ポンティアック＜Pontiac＞熱］,04089
A30－A49,A48,A48.3,A483,NA,毒素ショック症候群,04082
A30－A49,A48,A48.4,A484,NA,ブラジル紫斑熱,04089
A30－A49,A48,A48.8,A488,NA,その他の明示された細菌性疾患,"0401,04089"
A30－A49,A49,A49,A49,NA,部位不明の細菌感染症,
A30－A49,A49,A49.0,A490,NA,ブドウ球菌感染症，部位不明,
A30－A49,A49,A49.1,A491,NA,連鎖球菌感染症，部位不明,04100
A30－A49,A49,A49.2,A492,NA,インフルエンザ菌感染症，部位不明,0415
A30－A49,A49,A49.3,A493,NA,マイコプラズマ感染症，部位不明,04181
A30－A49,A49,A49.8,A498,NA,部位不明のその他の細菌感染症,04189
A30－A49,A49,A49.9,A499,NA,細菌感染症，詳細不明,0419
A50－A64,A50,A50,A50,NA,先天梅毒,
A50－A64,A50,A50.0,A500,NA,早期先天梅毒，顕症,
A50－A64,A50,A50.1,A501,NA,早期先天梅毒，潜伏性,0901
A50－A64,A50,A50.2,A502,NA,早期先天梅毒，詳細不明,0902
A50－A64,A50,A50.3,A503,NA,晩期先天梅毒性眼障害,
A50－A64,A50,A50.4,A504,NA,晩期先天神経梅毒［若年（性）神経梅毒］,
A50－A64,A50,A50.5,A505,NA,その他の晩期先天梅毒，顕症,
A50－A64,A50,A50.6,A506,NA,晩期先天梅毒，潜伏性,0906
A50－A64,A50,A50.7,A507,NA,晩期先天梅毒，詳細不明,0907
A50－A64,A50,A50.9,A509,NA,先天梅毒，詳細不明,0909
A50－A64,A51,A51,A51,NA,早期梅毒,
A50－A64,A51,A51.0,A510,NA,第１期性器梅毒,0910
A50－A64,A51,A51.1,A511,NA,第１期肛門梅毒,0911
A50－A64,A51,A51.2,A512,NA,その他の部位の第１期梅毒,0912
A50－A64,A51,A51.3,A513,NA,皮膚及び粘膜の第２期梅毒,
A50－A64,A51,A51.4,A514,NA,その他の第２期梅毒,
A50－A64,A51,A51.5,A515,NA,早期梅毒，潜伏性,"0920,0929"
A50－A64,A51,A51.9,A519,NA,早期梅毒，詳細不明,0929
A50－A64,A52,A52,A52,NA,晩期梅毒,
A50－A64,A52,A52.0,A520,NA,心血管梅毒,
A50－A64,A52,A52.1,A521,NA,症候性神経梅毒,
A50－A64,A52,A52.2,A522,NA,無症候性神経梅毒,0943
A50－A64,A52,A52.3,A523,NA,神経梅毒，詳細不明,0949
A50－A64,A52,A52.7,A527,NA,その他の症候性晩期梅毒,
A50－A64,A52,A52.8,A528,NA,晩期梅毒，潜伏性,096
A50－A64,A52,A52.9,A529,NA,晩期梅毒，詳細不明,0970
A50－A64,A53,A53,A53,NA,その他及び詳細不明の梅毒,
A50－A64,A53,A53.0,A530,NA,潜伏（性）梅毒，早期か晩期か不明,0971
A50－A64,A53,A53.9,A539,NA,梅毒，詳細不明,0979
A50－A64,A54,A54,A54,NA,淋菌感染症,
A50－A64,A54,A54.0,A540,NA,下部尿路性器の淋菌感染症，尿道周囲膿瘍又は副腺膿瘍を伴わないもの,
A50－A64,A54,A54.1,A541,NA,下部尿路性器の淋菌感染症，尿道周囲膿瘍及び副腺膿瘍を伴うもの,0980
A50－A64,A54,A54.2,A542,NA,淋菌性骨盤腹膜炎及びその他の淋菌性腎尿路生殖器感染症,
A50－A64,A54,A54.3,A543,NA,眼の淋菌感染症,
A50－A64,A54,A54.4,A544,NA,筋骨格系の淋菌感染症,
A50－A64,A54,A54.5,A545,NA,淋菌性咽頭炎,0986
A50－A64,A54,A54.6,A546,NA,肛門及び直腸の淋菌感染症,0987
A50－A64,A54,A54.8,A548,NA,その他の淋菌感染症,
A50－A64,A54,A54.9,A549,NA,淋菌感染症，詳細不明,09889
A50－A64,A55,A55,A55,NA,クラミジア性リンパ肉芽腫（性病性）,0991
A50－A64,A56,A56,A56,NA,その他の性的伝播性クラミジア疾患,
A50－A64,A56,A56.0,A560,NA,下部尿路性器のクラミジア感染症,
A50－A64,A56,A56.1,A561,NA,骨盤腹膜及びその他の腎尿路生殖器のクラミジア感染症,
A50－A64,A56,A56.2,A562,NA,尿路性器のクラミジア感染症，詳細不明,09955
A50－A64,A56,A56.3,A563,NA,肛門及び直腸のクラミジア感染症,09952
A50－A64,A56,A56.4,A564,NA,咽頭のクラミジア感染症,09951
A50－A64,A56,A56.8,A568,NA,その他の部位の性的伝播性クラミジア感染症,09959
A50－A64,A57,A57,A57,NA,軟性下疳,0990
A50－A64,A58,A58,A58,NA,そけい＜鼠径＞（部）肉芽腫,0992
A50－A64,A59,A59,A59,NA,トリコモナス症,
A50－A64,A59,A59.0,A590,NA,泌尿生殖器トリコモナス症,
A50－A64,A59,A59.8,A598,NA,その他の部位のトリコモナス症,1318
A50－A64,A59,A59.9,A599,NA,トリコモナス症，詳細不明,1319
A50－A64,A60,A60,A60,NA,肛門性器ヘルペスウイルス［単純ヘルペス］感染症,
A50－A64,A60,A60.0,A600,NA,性器及び尿路のヘルペスウイルス感染症,
A50－A64,A60,A60.1,A601,NA,肛門周囲皮膚及び直腸のヘルペスウイルス感染症,05419
A50－A64,A60,A60.9,A609,NA,肛門性器ヘルペスウイルス感染症，詳細不明,05410
A50－A64,A63,A63,A63,NA,主として性的伝播様式をとるその他の感染症，他に分類されないもの,
A50－A64,A63,A63.0,A630,NA,肛門性器（性病性）いぼ＜疣＞＜疣贅＞,07811
A50－A64,A63,A63.8,A638,NA,主として性的伝播様式をとるその他の明示された感染症,0998
A50－A64,A64,A64,A64,NA,性的伝播様式をとる詳細不明の感染症,0999
A65－A69,A65,A65,A65,NA,非性病性梅毒,1040
A65－A69,A66,A66,A66,NA,フランベジア＜yaws＞,
A65－A69,A66,A66.0,A660,NA,初期フランベジア＜yaws＞病変,1020
A65－A69,A66,A66.1,A661,NA,多発（性）乳頭腫及びウエットクラブフランベジア＜wet crab yaws＞,1021
A65－A69,A66,A66.2,A662,NA,その他のフランベジア＜yaws＞性早期皮膚病変,1022
A65－A69,A66,A66.3,A663,NA,フランベジア＜yaws＞性（過）角化症＜角質増殖症＞,1023
A65－A69,A66,A66.4,A664,NA,フランベジア＜yaws＞性ゴム腫及び潰瘍,1024
A65－A69,A66,A66.5,A665,NA,ガンゴザ＜gangosa＞,1025
A65－A69,A66,A66.6,A666,NA,フランベジア＜yaws＞性骨及び関節病変,1026
A65－A69,A66,A66.7,A667,NA,その他のフランベジア＜yaws＞の症状発現,1027
A65－A69,A66,A66.8,A668,NA,潜伏フランベジア＜yaws＞,1028
A65－A69,A66,A66.9,A669,NA,フランベジア＜yaws＞，詳細不明,1029
A65－A69,A67,A67,A67,NA,ピンタ＜pinta＞［カラート＜carate＞］,
A65－A69,A67,A67.0,A670,NA,初期ピンタ＜pinta＞病変,1030
A65－A69,A67,A67.1,A671,NA,中期ピンタ＜pinta＞病変,1031
A65－A69,A67,A67.2,A672,NA,晩期ピンタ＜pinta＞病変,1032
A65－A69,A67,A67.3,A673,NA,ピンタ＜pinta＞の混合型病変,1033
A65－A69,A67,A67.9,A679,NA,ピンタ＜pinta＞，詳細不明,1039
A65－A69,A68,A68,A68,NA,回帰熱,
A65－A69,A68,A68.0,A680,NA,シラミ媒介性回帰熱,0870
A65－A69,A68,A68.1,A681,NA,ダニ媒介性回帰熱,0871
A65－A69,A68,A68.9,A689,NA,回帰熱，詳細不明,0879
A65－A69,A69,A69,A69,NA,その他のスピロヘータ感染症,
A65－A69,A69,A69.0,A690,NA,え＜壊＞死性潰瘍性口内炎,"101,5281"
A65－A69,A69,A69.1,A691,NA,その他のヴァンサン＜Vincent＞感染症,101
A65－A69,A69,A69.2,A692,NA,ライム＜Lyme＞病,
A65－A69,A69,A69.8,A698,NA,その他の明示されたスピロヘータ感染症,1048
A65－A69,A69,A69.9,A699,NA,スピロヘータ感染症，詳細不明,1049
A70－A74,A70,A70,A70,NA,オウム病クラミジア感染症,0739
A70－A74,A71,A71,A71,NA,トラコーマ,
A70－A74,A71,A71.0,A710,NA,初期トラコーマ,0760
A70－A74,A71,A71.1,A711,NA,活動期トラコーマ,0761
A70－A74,A71,A71.9,A719,NA,トラコーマ，詳細不明,0769
A70－A74,A74,A74,A74,NA,クラミジアによるその他の疾患,
A70－A74,A74,A74.0,A740,NA,クラミジア結膜炎（H13.1*）,"0770,07798"
A70－A74,A74,A74.8,A748,NA,その他のクラミジア疾患,
A70－A74,A74,A74.9,A749,NA,クラミジア感染症，詳細不明,07998
A75－A79,A75,A75,A75,NA,発疹チフス,
